teamID_seasonID,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed,giveaways,goalsFor,hits,losses,missedShots,otLosses,points,shootingPctg,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins
9_20112012,1078,0.5013,4893,2440,2453,82,762,243,1975,31,1033,10,92,0.0944,2574,642,OTT,Ottawa Senators,0,41
15_20112012,1302,0.4995,4764,2384,2380,82,737,218,1972,32,934,8,92,0.0949,2295,602,WSH,Washington Capitals,0,42
52_20112012,1197,0.4903,4762,2427,2335,82,604,221,1966,35,1067,10,84,0.0894,2471,484,WPG,Winnipeg Jets,0,37
19_20112012,1120,0.5042,4633,2297,2336,82,380,206,1949,22,1066,11,109,0.082,2512,500,STL,St. Louis Blues,0,49
21_20112012,1111,0.5162,4666,2257,2409,82,538,199,1889,35,873,6,88,0.077,2583,704,COL,Colorado Avalanche,0,41
13_20112012,1042,0.5057,4583,2265,2318,82,499,197,1858,26,917,18,94,0.0809,2433,602,FLA,Florida Panthers,0,38
24_20112012,1175,0.474,4540,2388,2152,82,666,201,1856,36,1017,12,80,0.0877,2291,443,ANA,Anaheim Ducks,0,34
8_20112012,1341,0.4825,4739,2452,2287,82,775,207,1840,35,901,16,78,0.0884,2340,468,MTL,Montréal Canadiens,0,31
2_20112012,1364,0.48,4560,2371,2189,82,736,196,1840,37,850,11,79,0.0813,2410,853,NYI,New York Islanders,0,34
23_20112012,1019,0.5215,4849,2320,2529,82,582,241,1826,22,990,9,111,0.0933,2583,539,VAN,Vancouver Canucks,0,51
14_20112012,1278,0.4858,4845,2491,2354,82,566,232,1788,36,859,8,84,0.1041,2227,536,TBL,Tampa Bay Lightning,0,38
6_20112012,1054,0.5452,4829,2196,2633,82,538,260,1778,29,1010,4,102,0.098,2653,456,BOS,Boston Bruins,0,49
30_20112012,1347,0.5122,4804,2343,2461,82,505,166,1771,36,838,11,81,0.0763,2174,561,MIN,Minnesota Wild,0,35
12_20112012,1239,0.5072,4858,2394,2464,82,559,212,1699,33,1016,16,82,0.0849,2497,589,CAR,Carolina Hurricanes,0,33
1_20112012,928,0.4706,4451,2356,2095,82,632,216,1677,28,762,6,102,0.0958,2253,486,NJD,New Jersey Devils,0,48
