,teamID_seasonID,evGGARatio,faceOffWinPercentage,faceOffsLost,faceOffsTaken,faceOffsWon,gamesPlayed_x,goalsAgainstPerGame,goalsPerGame,losses_x,ot,penaltyKillPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,powerPlayPercentage,ptPctg,pts,savePctg,shootingPctg_x,shotsAllowed,shotsPerGame,winLeadFirstPer,winLeadSecondPer,winOppScoreFirst,winOutshootOpp,winOutshotByOpp,winScoreFirst,wins_x,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed_y,giveaways,goalsFor,hits,losses_y,missedShots,otLosses,points,shootingPctg_y,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins_y
342,20_19992000,0.9197,49.2,2805.0,5526.0,2721.0,82,3.122,2.573,36,5,79.7,59.0,74.0,330.0,17.9,47.0,77,0.892,8.5,29.0366,30.0976,0.708,0.741,0.175,0.452,0.27,0.571,31,1037,0.4923,5526,2805,2721,82,815,211,1913,36,1103,5,77,0.0854,2468,630,CGY,Calgary Flames,10,31
343,20_20002001,0.9197,51.6,2631.0,5431.0,2800.0,82,2.878,2.402,36,4,79.8,65.0,76.0,435.0,14.9,44.5,73,0.894,8.8,27.122,27.1951,0.667,0.733,0.136,0.4,0.256,0.553,27,911,0.5155,5431,2631,2800,82,826,197,1824,36,1017,4,73,0.0883,2230,503,CGY,Calgary Flames,15,27
344,20_20012002,0.9197,52.5,2604.0,5487.0,2883.0,82,2.683,2.451,35,3,81.4,55.0,66.0,364.0,15.1,48.2,79,0.902,9.1,27.3415,26.9146,0.667,0.778,0.214,0.314,0.429,0.575,32,1013,0.5254,5487,2604,2883,82,880,201,2053,35,1022,3,79,0.091,2207,508,CGY,Calgary Flames,12,32
345,20_20022003,0.8451,53.9,2498.0,5421.0,2923.0,82,2.78,2.268,36,4,83.2,47.0,65.0,389.0,12.1,45.7,75,0.897,7.9,27.0976,28.5488,0.636,0.625,0.196,0.327,0.407,0.556,29,275,0.5391,5421,2498,2923,82,275,186,761,36,335,4,75,0.0794,2341,184,CGY,Calgary Flames,13,29
346,20_20032004,1.1238,50.7,2736.0,5548.0,2812.0,82,2.146,2.439,30,3,84.6,54.0,53.0,357.0,15.1,57.3,94,0.916,8.9,25.4878,27.4146,0.952,0.818,0.317,0.523,0.471,0.707,42,943,0.5068,5548,2736,2812,82,823,200,1490,30,980,3,94,0.0889,2248,533,CGY,Calgary Flames,7,42
347,20_20052006,1.1613,50.4,2456.0,4952.0,2496.0,82,2.354,2.634,25,11,84.2,87.0,80.0,478.0,18.2,62.8,103,0.915,9.4,27.5732,28.0366,0.629,0.868,0.438,0.628,0.457,0.64,46,964,0.504,4952,2456,2496,82,888,216,1648,25,962,11,103,0.0939,2299,638,CGY,Calgary Flames,0,46
348,20_20062007,1.2439,48.4,2462.0,4770.0,2308.0,82,2.695,3.11,29,10,80.4,73.0,81.0,401.0,18.2,58.5,96,0.912,11.4,30.5122,27.3415,0.806,0.933,0.333,0.667,0.462,0.674,43,1029,0.4838,4770,2462,2308,82,971,255,1491,29,868,10,96,0.1137,2242,670,CGY,Calgary Flames,0,43
349,20_20072008,1.0741,49.5,2389.0,4733.0,2344.0,82,2.732,2.756,30,10,81.5,59.0,72.0,352.0,16.8,57.3,94,0.904,9.8,28.4756,28.2439,0.773,0.8,0.342,0.486,0.525,0.659,42,764,0.4952,4733,2389,2344,82,743,226,1633,30,944,10,94,0.0975,2316,621,CGY,Calgary Flames,0,42
350,20_20082009,1.0438,51.3,2333.0,4787.0,2454.0,82,3.0,3.061,30,6,83.4,61.0,58.0,358.0,17.0,59.8,98,0.899,9.5,29.7683,32.2317,0.739,0.875,0.444,0.6,0.452,0.703,46,788,0.5126,4787,2333,2454,82,703,251,1552,30,1048,6,98,0.0949,2643,531,CGY,Calgary Flames,0,46
351,20_20092010,0.9928,48.0,2424.0,4661.0,2237.0,82,2.476,2.451,32,10,82.3,43.0,54.0,268.0,16.0,54.9,90,0.914,8.6,28.9268,28.6585,0.714,0.868,0.219,0.432,0.474,0.66,40,1062,0.4799,4661,2424,2237,82,724,201,1708,32,1005,10,90,0.0855,2350,580,CGY,Calgary Flames,0,40
